scientific_name,latitude,longitude,observation_count
"Oryza sativa L.",7.9,80.7,353
"Plantae",7.3,80.6,324
"Oryza sativa L.",6.1,80.2,259
"Oryza sativa L.",7.5,80.4,160
"Oryza sativa L.",6.6,80,158
"Oryza sativa L.",6,80.5,152
"Oryza sativa L.",9.7,80.1,147
"Oryza sativa L.",6.7,80.4,145
"Oryza sativa L.",6.8,80,125
"Oryza sativa L.",7.3,80.6,118
"Oryza sativa L.",7.7,81.7,107
"Rhododendron arboreum subsp. zeylanicum (Booth) Tagg",6.8,80.8,93
"Oryza sativa L.",7.5,80.3,91
"Dioscorea alata L.",9.7,80,86
"Oryza sativa L.",8.8,80.5,84
"Dioscorea alata L.",7.2,80,80
"Arundina graminifolia (D.Don) Hochr.",6.4,80.4,76
"Oryza sativa L.",7.3,80.4,72
"Aristea ecklonii Baker",6.8,80.8,72
"Barringtonia asiatica (L.) Kurz",6,80.2,67
"Oryza sativa L.",8.3,80.4,64
"Oryza sativa L.",7.5,79.9,64
"Rhododendron arboreum Sm.",6.8,80.8,59
"Phaseolus vulgaris L.",6.9,79.9,58
"Strobilanthes viscosa (Arn. ex Nees) T.Anderson",6.8,80.8,52
"Strobilanthes pulcherrima T.Anderson",6.8,80.8,52
"Dioscorea alata L.",9.8,80,52
"Oryza sativa L.",6.6,80.1,51
"Oryza sativa L.",8.6,81.1,50
"Dioscorea alata L.",8.8,80.5,50
"Oryza sativa L.",7,80.7,49
"Oryza sativa L.",6.3,81.2,46
"Ulex europaeus L.",6.8,80.8,45
"Oryza sativa L.",7,81.1,44
"Halophila Thouars",8.4,79.8,44
"Oryza sativa L.",7.9,79.8,42
"Cocos nucifera L.",7,81,42
"Couroupita guianensis Aubl.",7.3,80.6,42
"Dioscorea esculenta (Lour.) Burkill",7.2,80,42
"Osbeckia parvifolia Arn.",6.8,80.8,41
"Hypericum mysurense B.Heyne ex Wight & Arn.",6.8,80.8,39
"Impatiens leptopoda Arn.",6.8,80.8,39
"Nepenthes distillatoria L.",6.5,80.5,37
"Hellenia speciosa (J.Koenig) S.R.Dutta",6.4,80.4,37
"Oryza sativa L.",9,79.9,36
"Dioscorea bulbifera L.",9.7,80,36
"Halophila major (Zoll.) Miq.",6,80.6,36
"Oryza sativa L.",7.9,81,35
"Melastoma malabathricum L.",6.9,79.9,35
"Magnoliopsida",7.3,80.6,35
"Dioscorea alata L.",7.5,80.2,35
"Oryza sativa L.",6.7,80.5,34
"Schumacheria castaneifolia Vahl",6.4,80.4,34
"Artocarpus heterophyllus Lam.",7.3,80.6,33
"SH1256735.09FU",6.4,80.4,33
"Oryza sativa L.",7.5,80.6,32
"Arundina graminifolia (D.Don) Hochr.",6.4,80.5,32
"Dioscorea alata L.",7.5,80.4,32
"Mimosa pudica L.",6.8,80,31
"Strobilanthes lupulina T.Anderson",6.4,80.4,31
"Osbeckia rubicunda Arn.",6.8,80.8,30
"Osbeckia lanata Alston",6.8,80.8,30
"Oryza sativa L.",8,79.8,29
"Oryza sativa L.",6.2,80.6,29
"Strobilanthes calycina Nees",6.8,80.8,29
"Rivina humilis L.",7.3,80.6,29
"Plantae",7.2,80.6,29
"Gaertnera rosea Thwaites ex Benth.",6.4,80.4,29
"Oryza rhizomatis D.A.Vaughan",6.2,81.5,29
"Oryza nivara S.D.Sharma & Shastry",6.2,81.5,29
"Nepenthes distillatoria L.",6.4,80.5,28
"Dioscorea alata L.",7.2,80.6,28
"Gaertnera ternifolia Thwaites",6.8,80.5,27
"Dioscorea alata L.",7.1,80,27
"Oryza sativa L.",7.1,81.5,26
"Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross",6.8,80.8,26
"Centratherum punctatum Cass.",6.8,80,26
"Pontederia crassipes Mart.",6.9,81.7,26
"Dioscorea alata L.",7.1,80.9,26
"Oryza sativa L.",7,81.4,25
"Nepenthes distillatoria L.",6.4,80.4,25
"Plantae",7,80.8,25
"Oryza sativa L.",6.1,80.6,24
"Tridax procumbens L.",6.8,80,24
"Plantae",6.8,80.5,24
"Exacum pallidum (Trimen) Klack.",7.4,80.8,24
"Arundinella thwaitesii Hook.f.",6.8,80.5,23
"Mimosa pudica L.",7.3,80.6,23
"Nepenthes distillatoria L.",6.6,80.5,23
"Strobilanthes sexennis Nees",7,80.7,23
"Eclipta prostrata (L.) L.",6.8,80,22
"Barringtonia asiatica (L.) Kurz",6.4,80,22
"Urochloa reptans (L.) Stapf",7.9,80.8,22
"Dioscorea alata L.",8,79.8,22
"Dioscorea esculenta (Lour.) Burkill",9.7,80,22
"Oryza sativa L.",6.9,81.5,21
"Nepenthes distillatoria L.",6.5,80.6,21
"Miconia crenata (Vahl) Michelang.",6.4,80.4,21
"Calotropis gigantea (L.) W.T.Aiton",6.3,81.5,21
"Hellenia speciosa (J.Koenig) S.R.Dutta",6.4,80.5,21
"Rhodomyrtus tomentosa (Aiton) Hassk.",6.8,80.8,21
"Solanum mauritianum Scop.",7,80.8,21
"Kuruna densifolia (Munro) Attigala, Kaththr. & L.G.Clark",6.8,80.8,21
"Plantae",6.7,80.1,21
"Oryza sativa L.",7,81,20
"Oryza sativa L.",6.8,80.4,20
"Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross",7,80.8,20
"Satyrium nepalense D.Don",6.8,80.8,20
"Melastoma malabathricum L.",6.4,80.5,19
"Melastoma malabathricum L.",6.4,80.4,19
"Nepenthes distillatoria L.",6.5,80.4,19
"Hedyotis ceylanica N.Wikstr. & Neupane",6.8,80.8,19
"Arisaema leschenaultii Blume",6.8,80.8,19
"Plantae",6.5,80.2,19
"Dioscorea alata L.",6.6,80.1,19
"Bryophyta",7.3,80.6,19
"Oryza sativa L.",7.3,80.3,18
"Oryza sativa L.",7.1,81,18
"Lantana camara L.",7.3,80.6,18
"Senna alata (L.) Roxb.",6.8,80,18
"Barringtonia asiatica (L.) Kurz",7.2,79.8,18
"Ulva Linnaeus, 1753",6,80.7,18
"Oryza eichingeri Peter",7.5,80.7,18
"Dioscorea alata L.",7.3,80.6,18
"Garnotia courtallensis (Arn. & Nees) Thwaites",6.8,80.5,18
"Oryza sativa L.",6.9,81.2,17
"Lantana camara L.",6.9,81.1,17
"Nepenthes distillatoria L.",6.3,80.5,17
"Limonia acidissima L.",6.8,80,17
"Cocos nucifera L.",6.9,79.9,17
"Cocos nucifera L.",7.9,80.7,17
"Grona triflora (L.) H.Ohashi & K.Ohashi",6.8,80,17
"Barringtonia asiatica (L.) Kurz",5.9,80.5,17
"Aristea ecklonii Baker",7,80.8,17
"Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs",7.3,80.6,17
"Plantae",7.4,80.4,17
"Plantae",7.3,80.7,17
"Asteraceae",7.3,80.6,17
"Euphorbia L.",6.8,80.8,17
"Gaertnera walkeri (Arn.) Blume",7.4,80.8,17
"Hopea utilis (Bedd.) Bole",7.3,80.6,17
"Butea monosperma (Lam.) Taubert",7.2,81.2,17
"Mimosa pudica L.",8,80.8,16
"Lantana camara L.",6.8,80,16
"Cyanthillium cinereum (L.) H.Rob.",6.8,80,16
"Nelumbo nucifera Gaertn.",8,80.8,16
"Exacum trinervium (L.) Druce",6.4,80.4,16
"Caulerpa racemosa (Forssk.) J.Agardh",6,80.7,16
"Exacum walkeri Arn. ex Griseb.",6.8,80.8,16
"Oryza sativa L.",9.7,80,15
"Oryza sativa L.",6.8,81,15
"Ipomoea pes-caprae (L.) R.Br.",7.2,79.8,15
"Cinnamomum verum J.Presl",7.3,80.6,15
"Hedyotis trimenii Deb & Ratna Dutta",7.4,80.8,15
"Fabaceae",7.3,80.6,15
"Mastixia macrophylla (Thwaites) Kosterm.",6.8,80.6,15
"Shorea cordifolia (Thwaites) P.S.Ashton",7.3,80.6,15
"Calotropis gigantea (L.) W.T.Aiton",8.7,81.2,14
"Cassia fistula L.",6.9,79.9,14
"Clitoria ternatea L.",7.3,80.6,14
"Senna auriculata (L.) Roxb.",6.3,81.4,14
"Caulerpa racemosa (Forssk.) J.Agardh",6,80.4,14
"Plantae",6.3,80.9,14
"Gaertnera divaricata (Thwaites) Thwaites",6.3,80.3,14
"Dioscorea alata L.",9.6,80.1,14
"Dioscorea alata L.",7.3,80.5,14
"Diphyscium fasciculatum Mitt.",6.8,80.5,14
"Shorea oblongifolia Thwaites",7.3,80.6,14
"Semecarpus L.f.",6.8,80.6,14
"Oryza sativa L.",8.6,80.4,13
"Oryza sativa L.",6.9,81.1,13
"Miconia crenata (Vahl) Michelang.",6.9,81.1,13
"Asystasia intrusa (Forssk.) Blume",7.2,80,13
"Ipomoea pes-caprae (L.) R.Br.",5.9,80.5,13
"Calotropis gigantea (L.) W.T.Aiton",6.5,80.9,13
"Calotropis gigantea (L.) W.T.Aiton",6.2,81.2,13
"Coleus kanneliyensis L.H.Cramer & S.Balas.",6.4,80.4,13
"Psidium guajava L.",6.8,80,13
"Clerodendrum infortunatum L.",6.4,80.4,13
"Ficus religiosa L.",6.9,79.9,13
"Ixora coccinea Comm. ex Lam.",6.9,79.9,13
"Impatiens flaccida Arn.",7,80.4,13
"Pigea enneasperma (L.) P.I.Forst.",8,80.8,13
"Plantae",6.9,79.9,13
"Biophytum DC.",7.3,80.6,13
"Amherstia nobilis Wall.",7.3,80.6,13
"Gaertnera walkeri (Arn.) Blume",6.8,80.5,13
"Dioscorea alata L.",7.5,80.1,13
"Oryza rufipogon Griff.",7.9,80.7,13
"Shorea ovalifolia (Thwaites) P.S.Ashton",7.3,80.6,13
"Oryza nivara S.D.Sharma & Shastry",7.2,81,13
"Oryza sativa L.",9.8,80,12
"Oryza sativa L.",9.7,80.3,12
"Oryza sativa L.",6.2,80.8,12
"Mimosa pudica L.",6.9,81.1,12
"Mimosa pudica L.",6.4,80.4,12
"Miconia crenata (Vahl) Michelang.",6.4,80.6,12
"Asystasia intrusa (Forssk.) Blume",6.8,80,12
"Sphagneticola trilobata (L.) Pruski",7.3,80.6,12
"Murraya paniculata (L.) Jacq.",6.8,80,12
"Cascabela thevetia (L.) Lippold",8,80.8,12
"Caryota urens L.",7.3,80.6,12
"Strobilanthes viscosa (Arn. ex Nees) T.Anderson",7,80.8,12
"Barringtonia asiatica (L.) Kurz",6,80.3,12
"Dillenia suffruticosa (Griff.) Martelli",6.4,80.4,12
"Centella asiatica (L.) Urb.",6.8,80,12
"Tridax procumbens L.",7.3,80.6,12
"Nymphaea rubra Roxb. ex Andr.",6.9,79.9,12
"Elephantopus scaber L.",7.3,80.6,12
"Thunbergia erecta (Benth.) T.Anderson",7.3,80.6,12
"Opuntia stricta (Haw.) Haw.",6.2,81.2,12
"Actinodaphne speciosa Nees",6.8,80.8,12
"Plantae",7.4,80.6,12
"Plantae",7.2,80.4,12
"Plantae",6.8,79.9,12
"Selaginella P.Beauv.",7.6,80.8,12
"Wahlenbergia marginata (Thunb.) A.DC.",6.8,80.8,12
"Gaertnera vaginans (DC.) Merr.",6.4,80.4,12
"Axinandra zeylanica Thwaites",6.8,80.5,12
"Exacum pallidum (Trimen) Klack.",6.8,80.5,12
"Isachne walkeri (Arn. ex Steud.) Wight & Arn. ex Hook.f.",6.8,80.5,12
"Shorea lissophylla Thwaites",7.3,80.6,12
"Oryza sativa L.",7,81.5,11
"Agrostistachys borneensis Becc.",6.8,80.5,11
"Mangifera indica L.",7.3,80.6,11
"Nepenthes distillatoria L.",6.3,80.4,11
"Cerbera odollam Gaertn.",6.9,79.9,11
"Calotropis gigantea (L.) W.T.Aiton",6.3,81.4,11
"Elaeocarpus serratus L.",6.8,80,11
"Pontederia crassipes Mart.",6.9,79.9,11
"Pontederia crassipes Mart.",6.3,81.3,11
"Ficus religiosa L.",8.3,80.4,11
"Barringtonia asiatica (L.) Kurz",6.9,79.8,11
"Exacum trinervium (L.) Druce",7.4,80.8,11
